Term	ID	Genes	Adj.pvalue	Enrichment
animal organ morphogenesis	GO:0009887	ACTA2 ACTG2 ADAMTS5 AJAP1 ALDH1A3 ALPL ANKRD1 CELSR1 COL11A1 COL18A1 COL8A2 COMP CPE DCN DHRS3 DSP ELN FAM20A FAM20C FGF1 FGF7 FGFRL1 FHL1 FLRT2 FOXE1 FZD4 FZD7 GCNT1 GCNT4 GDNF GPC6 HEG1 HES1 HEYL HGF ID4 ILK INHBA ITGA6 JAG1 KIF26B LRIG3 MFAP2 MMP2 MYLK NFIB NOTCH1 NRP2 PAPPA2 PBX1 PDGFC PDGFRB PHLDA2 PLXND1 PPP1R13L PSME2 PTN RARB RBP4 RBPJ SDC1 SEMA3C SLC9A3R1 SOX11 SOX4 STAT1 SULF1 SULF2 TBX2 TBX3 TCF7 TENM3 TGFB2 VEGFA WNK4 WNT16	2.62635599433578e-14	0.0780287474332649
cell migration	GO:0016477	ACKR3 ADAMTS12 ARHGDIB AUTS2 BST2 CAMK1D CCKAR CD24 CELSR1 CEMIP CMKLR1 COL18A1 CSNK2B CSPG4 CXCL12 CYGB DCN DDIT4 DNER DOCK10 DPP4 DPYSL3 ENPP2 EPHA4 F2R FGF1 FGF7 FLRT2 FLT1 FOXE1 GAS6 GCNT1 GDNF GPC6 HES1 HGF HMOX1 HSPB1 IFITM1 IGFBP3 IL16 ILK ITGA1 ITGA11 ITGA5 ITGA6 ITGB3 JAG1 JUP LAMA2 LDB2 LPAR1 LRRC15 MCAM MMP1 MYLK MYOCD NBL1 NDNF NHSL1 NOTCH1 NR2F2 NRP2 PDGFC PDGFRB PHLDA2 PLXNA2 PLXND1 POSTN PRKG1 PTN RAC2 RELN SDC1 SDC2 SEMA3C SERPINE2 SLC7A8 SLC9A3R1 SPHK1 SULF1 TGFB2 THBD TNFAIP6 TNS1 VCAM1 VCL VEGFA	4.45604357674075e-14	0.067022086824067
anatomical structure formation involved in morphogenesis	GO:0048646	ACKR3 ADAM12 ADM2 ALDH1A3 ANKRD1 CD36 CD9 CELSR1 CFL2 CHI3L1 COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 COL8A2 CSPG4 DCN EDNRA ENPP2 EPB41L3 EYA2 FAM20A FAM20C FGF1 FHOD3 FLT1 FZD7 GDNF HES1 HEYL HGF HMOX1 HSPB1 ILK INHBA ITGA5 ITGA6 ITGA7 ITGB3 JAG1 KIF26B KRT19 LDB3 LMOD1 MCAM MMP2 NDNF NFIB NOTCH1 NOTCH3 NRP2 PDGFRB PLCD1 PLXNA2 PLXND1 PTGIS PTN RBP4 RBPJ RELN SEMA3C SOX11 SOX4 SPHK1 STAT1 SULF1 TBX2 TBX3 TGFB2 UNC5B VASP VEGFA WNT16	4.72540111034257e-13	0.0762886597938144
cell differentiation	GO:0030154	A2M ACKR3 ACTA2 ADAM12 ADAMTS12 ADAMTSL4 AJAP1 ALPL ANKRD1 ATF5 AUTS2 B2M BEX1 BMP8B BRIP1 CADM1 CAMK1D CCKAR CD24 CD36 CD4 CD9 CDH3 CELSR1 CFL2 CLU CMKLR1 COL11A1 COL12A1 COL18A1 COL4A1 COL4A2 CRABP2 CSPG4 CSRP2 CXCL12 DDIT4 DDX39B DHFR DMD DNER DOCK10 DPYSL3 DSG2 DSP EDNRA EFHD1 EPB41L3 EPHA4 EPHA5 ETV1 EYA2 FAM20C FBLN1 FGF1 FHL1 FHOD3 FLG FLRT2 FLT1 FOXE1 FOXS1 FZD4 FZD7 GAS6 GBP1 GDNF GJA1 HEG1 HERC6 HES1 HEYL HGF HSPA2 ID4 IFITM1 IGF2 IGFBP3 ILK INHBA ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 JAG1 JUP KRT14 KRT18 KRT19 KRT34 KRT7 KRT81 LAMA2 LDB3 LMOD1 LOXL3 LPAR1 LRRC17 MAF MEIS2 MMP2 MYL9 MYOCD NBL1 NDNF NEFM NFIB NHSL1 NOTCH1 NOTCH3 NR2F2 NRP2 NRXN3 PBX1 PDGFRB PEG10 PENK PITX1 PLXNA2 PLXND1 POSTN PPL PPP1R13L PRKG1 PRRC2A PSME2 PTN RARB RASGRP1 RBM24 RBPJ RELN RUNX1T1 S100A10 SCUBE3 SDC1 SDC2 SEMA3B SEMA3C SERPINE2 SIK1 SLC9A3R1 SMOC1 SMYD3 SOX11 SOX4 SPP1 STAT1 SULF1 SULF2 TAGLN TBX2 TBX3 TCF7 TDRD9 TENM2 TENM3 TGFB2 TRIB3 TRPC4 TRPC6 TRPS1 TRPV2 TSPAN2 UNC5B VASP VCAM1 VCL VEGFA VLDLR VPS52 WNT16 ZNF423	4.80506757484073e-13	0.0447570332480818
locomotion	GO:0040011	ACKR3 ADAMTS12 ARHGDIB AUTS2 BST2 CAMK1D CCKAR CD24 CELSR1 CEMIP CMKLR1 COL18A1 CSNK2B CSPG4 CXCL12 CYGB DCN DDIT4 DNER DOCK10 DPP4 DPYSL3 ENPP2 EPHA4 EPHA5 ETV1 F2R FBLN1 FGF1 FGF7 FLRT2 FLT1 FOXE1 FZD4 GAS6 GCNT1 GDNF GPC6 HES1 HGF HMOX1 HSPB1 IFITM1 IGFBP3 IL16 ILK ITGA1 ITGA11 ITGA5 ITGA6 ITGB3 JAG1 JUP LAMA2 LDB2 LPAR1 LRRC15 LSP1 MCAM MMP1 MYLK MYOCD NBL1 NDNF NFIB NHSL1 NOTCH1 NR2F2 NRP2 NRXN3 PDGFC PDGFRB PHLDA2 PLXNA2 PLXND1 POSTN PRKG1 PTN RAC2 RELN SDC1 SDC2 SEMA3B SEMA3C SERPINE2 SLC7A8 SLC9A3R1 SPHK1 SULF1 TGFB2 THBD TNFAIP6 TNS1 UNC5B VASP VCAM1 VCL VEGFA VLDLR	1.8708432874554e-12	0.0589988081048868
movement of cell or subcellular component	GO:0006928	ACKR3 ADAMTS12 ARHGDIB AUTS2 BST2 CALD1 CAMK1D CCKAR CD24 CD9 CELSR1 CEMIP CENPE CMKLR1 COL18A1 CSNK2B CSPG4 CXCL12 CYGB DCN DDIT4 DMD DNER DOCK10 DPP4 DPYSL3 DSG2 DSP ENPP2 EPHA4 EPHA5 ETV1 F2R FBLN1 FGF1 FGF7 FLRT2 FLT1 FOXE1 GAS6 GCNT1 GDNF GJA1 GPC6 HES1 HGF HMOX1 HSPB1 IFITM1 IGFBP3 IL16 ILK ITGA1 ITGA11 ITGA5 ITGA6 ITGB3 JAG1 JUP LAMA2 LDB2 LPAR1 LRRC15 LSP1 MCAM MMP1 MYLK MYOCD NBL1 NDNF NFIB NHSL1 NOTCH1 NR2F2 NRP2 NRXN3 PALM PDGFC PDGFRB PHLDA2 PLXNA2 PLXND1 POSTN PRKG1 PTN RAC2 RASGRP1 RELN SDC1 SDC2 SEMA3B SEMA3C SERPINE2 SLC7A8 SLC9A3R1 SPHK1 SULF1 TGFB2 THBD TNFAIP6 TNS1 TPM2 TUBB UNC5B VASP VCAM1 VCL VEGFA VLDLR	3.51874504088377e-12	0.0568004168837936
cell motility	GO:0048870	ACKR3 ADAMTS12 ARHGDIB AUTS2 BST2 CAMK1D CCKAR CD24 CELSR1 CEMIP CMKLR1 COL18A1 CSNK2B CSPG4 CXCL12 CYGB DCN DDIT4 DNER DOCK10 DPP4 DPYSL3 ENPP2 EPHA4 F2R FBLN1 FGF1 FGF7 FLRT2 FLT1 FOXE1 GAS6 GCNT1 GDNF GPC6 HES1 HGF HMOX1 HSPB1 IFITM1 IGFBP3 IL16 ILK ITGA1 ITGA11 ITGA5 ITGA6 ITGB3 JAG1 JUP LAMA2 LDB2 LPAR1 LRRC15 MCAM MMP1 MYLK MYOCD NBL1 NDNF NHSL1 NOTCH1 NR2F2 NRP2 PDGFC PDGFRB PHLDA2 PLXNA2 PLXND1 POSTN PRKG1 PTN RAC2 RELN SDC1 SDC2 SEMA3C SERPINE2 SLC7A8 SLC9A3R1 SPHK1 SULF1 TGFB2 THBD TNFAIP6 TNS1 VCAM1 VCL VEGFA	3.65721769822882e-12	0.0614216701173223
regulation of cell migration	GO:0030334	ACKR3 ARHGDIB BST2 CAMK1D CEMIP CMKLR1 COL18A1 CSNK2B CXCL12 CYGB DCN DOCK10 DPYSL3 ENPP2 F2R FGF1 FGF7 FLRT2 FLT1 GAS6 HGF HMOX1 HSPB1 IFITM1 IGFBP3 ILK ITGA5 ITGA6 ITGB3 JAG1 LAMA2 LDB2 LPAR1 LRRC15 MCAM MYLK MYOCD NBL1 NOTCH1 NR2F2 NRP2 PDGFC PDGFRB PHLDA2 PLXNA2 PLXND1 POSTN PTN RAC2 RELN SEMA3C SERPINE2 SLC9A3R1 SPHK1 SULF1 TGFB2 TNFAIP6 VCL VEGFA	8.31715418193411e-12	0.0842857142857143
tissue morphogenesis	GO:0048729	ACTA2 ACTG2 ADAMTS12 AJAP1 ALDH1A3 ANKRD1 CELSR1 COL11A1 COL4A1 CSNK2B DSP EDNRA EPHA4 EYA2 FGF1 FGF7 FOXE1 FZD4 FZD7 GCNT1 GCNT4 GDNF GPC6 HEG1 HES1 HEYL HGF ID4 ILK INHBA ITGA5 ITGB3 JAG1 KIF26B MYLK NOTCH1 PBX1 PLXND1 PSME2 RBPJ SEMA3C SLC9A3R1 SOX11 SOX4 STAT1 SULF1 TBX2 TBX3 TGFB2 VASP VCL VEGFA VPS52 WNK4 WNT16	8.31715418193411e-12	0.0891410048622366
response to stimulus	GO:0050896	A2M AATF ABCC3 ACKR3 ACTA2 ADAMTS12 ADAMTS5 ADM2 AGPAT1 AJAP1 AKAP12 ALDH1A3 ALPL ANKRD1 ANO3 ARHGDIB ARNT2 ASS1 AUTS2 B2M BICC1 BMP8B BRIP1 BST2 C1QTNF1 C1S CACNA1A CADM1 CAMK1D CAMTA2 CBLB CCKAR CD24 CD36 CD4 CD9 CDA CDH3 CDH6 CELSR1 CHI3L1 CHRM2 CLEC3B CLIC3 CLU CMKLR1 COL11A1 COL18A1 COL4A1 COL4A2 COLEC12 CPE CRABP2 CRLF1 CSNK2B CSPG4 CSRP1 CTPS1 CTSC CXCL12 CYGB DAPK1 DCN DDIT4 DDX39B DHFR DHRS3 DIRAS1 DMD DNER DOCK10 DPP4 DPYSL3 DSG2 DSP EDNRA ENPP2 EPHA4 EPHA5 ETV1 EYA2 F2R FAM129A FAM20C FBLN1 FGF1 FGF7 FGFRL1 FLRT2 FLT1 FMO3 FZD4 FZD7 GALNS GAS6 GBP1 GBP2 GCNT1 GDNF GJA1 GPC6 GREM2 GTF2IRD1 HES1 HEYL HGF HIC1 HLA-A HLA-B HLA-C HMCN1 HMOX1 HOMER2 HSPA1A HSPA2 HSPB1 HSPB8 IER3 IFI44 IFI6 IFITM1 IGF2 IGFBP3 IL16 ILK INHBA ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 ITPR3 JAG1 JPH2 JUP KCNK2 KCNMA1 KCNMB1 KRT14 KRT18 KRT19 LAMA2 LASP1 LGALS3BP LGMN LOXL3 LPAR1 LRRC15 LSP1 LTBP2 LUM MCAM MCTP2 MDC1 MEIS2 MGAM MICB MME MMP2 MMP3 MX2 MXRA5 MYL9 MYLK MYOCD NBL1 NDNF NEDD9 NFATC1 NFIB NLRC5 NOTCH1 NOTCH3 NPAS1 NR2F2 NRP2 NRXN3 OAS2 OAS3 OXTR PALM PAPSS2 PDE10A PDGFC PDGFRB PEAR1 PEG10 PENK PHLDA2 PID1 PIEZO2 PLCD1 PLEKHG2 PLXNA2 PLXND1 PODNL1 POSTN PPL PPP1R13L PPP1R14A PRG4 PRKG1 PSME2 PTGIS PTN RAC2 RARB RASGRP1 RASSF3 RBP4 RBPJ RDH5 RELN RGS4 RGS5 RPS6KA2 S100A10 SCN9A SCUBE3 SDC1 SDC2 SEMA3B SEMA3C SERPINB2 SERPINE2 SESN3 SGIP1 SIK1 SLC25A23 SLC7A8 SLC9A3R1 SMOC1 SMYD3 SORCS2 SOX11 SOX4 SPHK1 SPP1 SPRY4 SSTR1 STAT1 STK32B STK38L SULF1 SULF2 SUSD2 SYT7 TBX2 TBX3 TCF7 TCF7L1 TENM2 TENM3 TFPI TFPI2 TGFB2 THBD TINAGL1 TNFAIP6 TP53I11 TRH TRIB3 TRPC6 TRPV2 TSPAN18 TSPAN2 TUBB UACA ULBP1 UNC5B VASP VCAM1 VCL VEGFA VLDLR WFDC1 WISP1 WISP2 WNK4 WNT16 XRRA1 ZNF423	2.3441099813282e-11	0.0334590009425071
epithelium development	GO:0060429	ACTA2 ADAMTS12 ADAMTSL4 AJAP1 ALDH1A3 CD24 CDH3 CELSR1 COL18A1 COL4A1 CRLF1 CSNK2B DSG2 DSP EDNRA EPHA4 FAM20C FGF1 FGF7 FLG FOXE1 FZD4 FZD7 GDNF GJA1 GPC6 HEG1 HES1 HEYL HGF ID4 ILK INHBA ITGA5 JAG1 JUP KIF26B KRT14 KRT18 KRT19 KRT34 KRT7 KRT81 LDB2 LOXL3 MAF NFIB NOTCH1 NR2F2 PBX1 PLXNA2 PLXND1 PPL PSME2 PTN RARB RBPJ SDC1 SEMA3C SERPINE2 SLC9A3R1 SOX11 SOX4 STAT1 SULF1 TAGLN TBX2 TBX3 TCF7 TGFB2 VASP VCL VEGFA WNK4 WNT16	2.76569406844333e-11	0.0611246943765281
cell surface receptor signaling pathway	GO:0007166	ACKR3 ADAMTS12 AGPAT1 B2M BICC1 BMP8B BST2 CBLB CD24 CD36 CD4 CD9 CDA CDH3 CDH6 CELSR1 CMKLR1 COL4A1 COL4A2 CPE CRLF1 CSNK2B CSPG4 CXCL12 DAPK1 DCN DDIT4 DNER EPHA4 EPHA5 EYA2 FAM20C FGF1 FGF7 FGFRL1 FLRT2 FLT1 FZD4 FZD7 GAS6 GBP1 GBP2 GDNF GPC6 GREM2 HES1 HEYL HGF HIC1 HLA-A HLA-B HLA-C HMOX1 HOMER2 HSPA1A HSPB1 IFI6 IFITM1 IGF2 IGFBP3 ILK INHBA ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 JAG1 JUP KRT18 KRT19 LGMN LOXL3 LRRC15 LTBP2 MICB MMP2 MX2 MYOCD NBL1 NEDD9 NFATC1 NLRC5 NOTCH1 NOTCH3 NRP2 OAS2 OAS3 OXTR PDGFC PDGFRB PEAR1 PEG10 PID1 PLXNA2 PLXND1 PODNL1 POSTN PSME2 PTN RBPJ RELN SCUBE3 SDC1 SDC2 SEMA3C SERPINB2 SERPINE2 SESN3 SLC9A3R1 SOX11 SOX4 SPHK1 SSTR1 STAT1 SULF1 SULF2 TBX2 TCF7 TCF7L1 TGFB2 TSPAN18 TSPAN2 UNC5B VCAM1 VEGFA VLDLR WISP1 WNT16 ZNF423	3.05970198026871e-11	0.0480524208227157
regulation of cell motility	GO:2000145	ACKR3 ARHGDIB BST2 CAMK1D CEMIP CMKLR1 COL18A1 CSNK2B CXCL12 CYGB DCN DOCK10 DPYSL3 ENPP2 F2R FBLN1 FGF1 FGF7 FLRT2 FLT1 GAS6 HGF HMOX1 HSPB1 IFITM1 IGFBP3 ILK ITGA5 ITGA6 ITGB3 JAG1 LAMA2 LDB2 LPAR1 LRRC15 MCAM MYLK MYOCD NBL1 NOTCH1 NR2F2 NRP2 PDGFC PDGFRB PHLDA2 PLXNA2 PLXND1 POSTN PTN RAC2 RELN SEMA3C SERPINE2 SLC9A3R1 SPHK1 SULF1 TGFB2 TNFAIP6 VCL VEGFA	3.25281825330708e-11	0.0796812749003984
tube development	GO:0035295	ADAMTS12 BRIP1 CD24 CELSR1 CHI3L1 CLMP COL4A1 CRLF1 CSNK2B EDNRA EPHA4 FGF1 FGF7 FOXE1 GDNF HEG1 HES1 HEYL ILK ITGA6 ITGB3 JAG1 KIF26B LOXL3 MYOCD NFIB NOTCH1 OXTR PBX1 PDGFC PDGFRB PLXNA2 PLXND1 PTN RARB RBP4 RBPJ SDC1 SEMA3C SERPINE2 SOX11 SOX4 STAT1 TBX2 TBX3 TCF7 TGFB2 VASP VEGFA VPS52 WNK4	5.92607504201355e-11	0.0894736842105263
regulation of cellular component movement	GO:0051270	ACKR3 ARHGDIB BST2 CAMK1D CEMIP CMKLR1 COL18A1 CSNK2B CXCL12 CYGB DCN DOCK10 DPYSL3 DSG2 DSP ENPP2 F2R FBLN1 FGF1 FGF7 FLRT2 FLT1 GAS6 HGF HMOX1 HSPB1 IFITM1 IGFBP3 ILK ITGA5 ITGA6 ITGB3 JAG1 JUP LAMA2 LDB2 LPAR1 LRRC15 MCAM MYLK MYOCD NBL1 NOTCH1 NR2F2 NRP2 PDGFC PDGFRB PHLDA2 PLXNA2 PLXND1 POSTN PTN RAC2 RELN SEMA3C SERPINE2 SLC9A3R1 SPHK1 SULF1 TGFB2 TNFAIP6 VCL VEGFA	7.95449790715008e-11	0.076271186440678
regulation of locomotion	GO:0040012	ACKR3 ARHGDIB BST2 CAMK1D CEMIP CMKLR1 COL18A1 CSNK2B CXCL12 CYGB DCN DOCK10 DPYSL3 ENPP2 F2R FBLN1 FGF1 FGF7 FLRT2 FLT1 GAS6 HGF HMOX1 HSPB1 IFITM1 IGFBP3 IL16 ILK ITGA5 ITGA6 ITGB3 JAG1 LAMA2 LDB2 LPAR1 LRRC15 MCAM MYLK MYOCD NBL1 NOTCH1 NR2F2 NRP2 PDGFC PDGFRB PHLDA2 PLXNA2 PLXND1 POSTN PTN RAC2 RELN SEMA3C SERPINE2 SLC9A3R1 SPHK1 SULF1 TGFB2 TNFAIP6 VCL VEGFA	3.001334124174e-10	0.074390243902439
muscle structure development	GO:0061061	ADAM12 ANKRD1 CFL2 COL11A1 DCN DDX39B DMD DNER DSP ETV1 FGFRL1 FHL1 FHOD3 FZD7 GJA1 HEG1 HES1 HEYL IGF2 IGFBP3 ILK ITGA11 ITGA7 JAG1 JPH2 KCNK2 KRT19 LAMA2 LDB3 LMOD1 MKX MYLK MYOCD NOTCH1 NR2F2 PDGFRB PITX1 RARB RBM24 RBP4 RBPJ SDC1 SIK1 SMYD3 SOX11 TAGLN TBX2 TBX3 TGFB2 VEGFA	4.39565071661917e-10	0.0854700854700855
response to external stimulus	GO:0009605	A2M ACKR3 ACTA2 ADAMTS12 ADAMTS5 AJAP1 ALDH1A3 ALPL ANKRD1 ANO3 AUTS2 B2M BRIP1 BST2 C1QTNF1 C1S CAMK1D CCKAR CD24 CD36 CD4 CD9 CHI3L1 CHRM2 CLU CMKLR1 COL11A1 CXCL12 DCN DDIT4 DMD ENPP2 EPHA4 EPHA5 ETV1 F2R FGF1 FGF7 FLRT2 FLT1 GAS6 GBP1 GDNF GJA1 HGF HMOX1 HSPB1 IFI44 IFITM1 IL16 ITGA1 ITGA6 ITGB3 JUP KCNK2 LAMA2 LPAR1 LSP1 MEIS2 MICB MX2 MYOCD NBL1 NFIB NLRC5 NOTCH1 NPAS1 NRP2 NRXN3 OAS2 OAS3 PDGFRB PENK PIEZO2 PLXNA2 POSTN PPL PRKG1 PTGIS PTN RAC2 RBPJ RELN SEMA3B SEMA3C SERPINB2 SERPINE2 SESN3 SGIP1 SIK1 SPP1 SSTR1 STAT1 TFPI TGFB2 THBD TNFAIP6 UNC5B VASP VCAM1 VEGFA VLDLR WFDC1	4.49768360505104e-10	0.0472260430994956
blood vessel development	GO:0001568	ACKR3 ACTA2 ADM2 CHI3L1 COL18A1 COL4A1 COL4A2 COL8A2 CSPG4 DCN EDNRA ENPP2 FGF1 FLT1 FOXS1 FZD4 HEG1 HES1 HGF HMOX1 HSPB1 ITGA5 ITGB3 ITGB8 JAG1 MCAM MMP2 MYLK MYOCD NDNF NOTCH1 NOTCH3 NR2F2 NRP2 PDGFRB PLCD1 PLXND1 PTGIS PTN RBPJ SEMA3C SOX4 SPHK1 STAT1 SULF1 TBX2 TBX3 TGFB2 UNC5B VEGFA	5.3683003236096e-10	0.0850340136054422
response to wounding	GO:0009611	A2M AJAP1 C1QTNF1 CD36 CD9 CDH3 CELSR1 CSRP1 DCN DHFR DPYSL3 DSP EPHA4 F2R FBLN1 FGF7 FZD7 GAS6 GJA1 HMOX1 HSPB1 ILK ITGA5 ITGB3 ITPR3 KCNK2 MCAM MYL9 MYLK NDNF NOTCH1 PAPSS2 PDGFC PDGFRB POSTN PRKG1 RAC2 SDC1 SERPINB2 SERPINE2 SPP1 SULF2 SYT7 TFPI TFPI2 TGFB2 THBD TRPC6 VCL WFDC1	6.07753901255342e-10	0.0786163522012579
regulation of developmental process	GO:0050793	ADAMTS12 ADM2 AJAP1 AMIGO2 ANKRD1 ARHGDIB B2M CAMK1D CD24 CD36 CD4 CDH3 CELSR1 CHI3L1 CLSTN2 CMKLR1 COL4A2 CRABP2 CXCL12 DCN DDX39B DPYSL3 ENPP2 EPB41L3 EPHA4 FAM20C FBLIM1 FBLN1 FGF1 FGF7 FLRT2 FLT1 FOXS1 FZD4 FZD7 GAS6 GBP1 GDNF GJA1 GPC6 HES1 HEYL HGF HMOX1 HSPB1 ID4 IFITM1 IGF2 IGFBP3 ILK INHBA ITGA5 ITGA7 ITGB3 JAG1 JPH2 KCNK2 LAMA2 LGMN LOXL3 LPAR1 LRRC17 LRRN1 LRRN3 MAF MEIS2 MYL9 MYOCD NBL1 NDNF NFIB NOTCH1 NOTCH3 OXTR PALM PBX1 PDGFRB PHLDA2 PID1 PLXNA2 PLXND1 POSTN PPP1R13L PSME2 PTGIS PTN RARB RASGRP1 RBM24 RBP4 RBPJ RELN RUNX1T1 S100A10 SDC2 SEMA3C SERPINE2 SIK1 SLC9A3R1 SMOC1 SOX11 SPHK1 SPP1 STAT1 SULF1 SULF2 SYNE3 TBX2 TBX3 TENM3 TGFB2 TPBG TRIB3 TRPC6 TRPS1 TRPV2 VEGFA VLDLR	6.07753901255342e-10	0.0508840017248814
blood vessel morphogenesis	GO:0048514	ACKR3 ADM2 CHI3L1 COL18A1 COL4A1 COL4A2 COL8A2 CSPG4 DCN EDNRA ENPP2 FGF1 FLT1 FZD4 HEG1 HES1 HGF HMOX1 HSPB1 ITGA5 ITGB3 JAG1 MCAM MMP2 MYLK MYOCD NDNF NOTCH1 NOTCH3 NR2F2 NRP2 PDGFRB PLCD1 PLXND1 PTGIS PTN RBPJ SOX4 SPHK1 STAT1 SULF1 TBX2 TGFB2 UNC5B VEGFA	9.16376919363315e-10	0.0891089108910891
vasculature development	GO:0001944	ACKR3 ACTA2 ADM2 CHI3L1 COL18A1 COL4A1 COL4A2 COL8A2 CSPG4 DCN EDNRA ENPP2 FGF1 FLT1 FOXS1 FZD4 HEG1 HES1 HGF HMOX1 HSPB1 ITGA5 ITGB3 ITGB8 JAG1 MCAM MMP2 MYLK MYOCD NDNF NOTCH1 NOTCH3 NR2F2 NRP2 PDGFRB PLCD1 PLXND1 PTGIS PTN RBPJ SEMA3C SOX4 SPHK1 STAT1 SULF1 TBX2 TBX3 TGFB2 UNC5B VEGFA	2.09840621437832e-09	0.0815660685154976
cardiovascular system development	GO:0072358	ACKR3 ACTA2 ADM2 CHI3L1 COL18A1 COL4A1 COL4A2 COL8A2 CSPG4 DCN EDNRA ENPP2 FGF1 FLT1 FOXS1 FZD4 HEG1 HES1 HGF HMOX1 HSPB1 ITGA5 ITGB3 ITGB8 JAG1 MCAM MMP2 MYLK MYOCD NDNF NOTCH1 NOTCH3 NR2F2 NRP2 PDGFRB PLCD1 PLXND1 PTGIS PTN RBPJ SEMA3C SOX4 SPHK1 STAT1 SULF1 TBX2 TBX3 TGFB2 UNC5B VEGFA	3.52709151163999e-09	0.0805152979066023
cardiac chamber development	GO:0003205	COL11A1 CPE DHRS3 DSP FGFRL1 HEG1 HES1 HEYL JAG1 KCNK2 MYOCD NOTCH1 NRP2 PLXND1 PPP1R13L RARB RBP4 RBPJ SEMA3C SOX11 SOX4 TBX2 TBX3 TGFB2	3.52851777270151e-09	0.157894736842105
renal system development	GO:0072001	ACTA2 CD24 COL4A1 CRLF1 DCN EPHA4 FGF1 GCNT1 GCNT4 GDNF HES1 HEYL ILK ITGA6 JAG1 KIF26B MME MYOCD NOTCH1 NOTCH3 PBX1 PDGFRB RARB RBP4 SDC1 SOX11 SOX4 STAT1 SULF1 SULF2 TGFB2 VEGFA WNK4	3.63049321883756e-09	0.118279569892473
signaling	GO:0023052	A2M ACKR3 ADAMTS12 ADM2 AGPAT1 AKAP12 ANKRD1 ARHGDIB AUTS2 B2M BICC1 BMP8B BRIP1 BST2 C1QTNF1 CACNA1A CAMK1D CBLB CCKAR CD24 CD36 CD4 CD9 CDA CDH3 CDH6 CELSR1 CHI3L1 CHRM2 CLIC3 CLSTN2 CLU CMKLR1 COL4A1 COL4A2 COLEC12 CORIN CPE CRABP2 CRLF1 CSNK2B CSPG4 CTSC CXCL12 DAPK1 DCN DDIT4 DHRS3 DIRAS1 DMD DNER DOCK10 DPP4 DSG2 DSP EDNRA ENPP2 EPHA4 EPHA5 EYA2 F2R FAM20C FBLN1 FGF1 FGF7 FGFRL1 FLRT2 FLT1 FZD4 FZD7 GAS6 GBP1 GBP2 GDNF GJA1 GPC6 GREM2 HES1 HEYL HGF HIC1 HLA-A HLA-B HLA-C HMOX1 HOMER2 HSPA1A HSPB1 IER3 IFI6 IFITM1 IGF2 IGFBP3 IL16 ILK INHBA ITGA1 ITGA11 ITGA5 ITGA6 ITGA7 ITGB3 ITGB8 ITPR3 JAG1 JPH2 JUP KCNK15 KCNK2 KCNMB1 KRT18 KRT19 LAMA2 LASP1 LGALS3BP LGMN LOXL3 LPAR1 LRRC15 LSP1 LTBP2 MCTP2 MICB MMP2 MX2 MYOCD NBL1 NDNF NEDD9 NFATC1 NLRC5 NOTCH1 NOTCH3 NPTX2 NR2F2 NRP2 OAS2 OAS3 OXTR PALM PCDH1 PCDH10 PCDHGB7 PDE10A PDGFC PDGFRB PEAR1 PEG10 PENK PHLDA2 PID1 PLCD1 PLEKHG2 PLXNA2 PLXND1 PODNL1 POSTN PPP1R13L PRKG1 PSME2 PTGIS PTN RAC2 RARB RASGRP1 RASSF3 RBP4 RBPJ RELN RGS4 RGS5 RPS6KA2 SCN9A SCUBE3 SDC1 SDC2 SEMA3B SEMA3C SEPT5 SERPINB2 SERPINE2 SESN3 SHANK2 SIK1 SLC25A4 SLC9A3R1 SMOC1 SORCS2 SOX11 SOX4 SPHK1 SPP1 SPRY4 SSTR1 STAT1 STK32B STK38L SULF1 SULF2 SYT7 TBX2 TBX3 TCF7 TCF7L1 TENM2 TENM3 TGFB2 THBD TNFAIP6 TRH TRIB3 TSPAN18 TSPAN2 UACA UNC5B VCAM1 VEGFA VLDLR WISP1 WISP2 WNK4 WNT16 ZNF423	4.34673943545212e-09	0.0354193138500635
wound healing	GO:0042060	A2M AJAP1 C1QTNF1 CD36 CD9 CDH3 CELSR1 CSRP1 DCN DSP F2R FBLN1 FZD7 GAS6 GJA1 HMOX1 HSPB1 ILK ITGA5 ITGB3 ITPR3 MCAM MYL9 MYLK NDNF NOTCH1 PAPSS2 PDGFC PDGFRB POSTN PRKG1 RAC2 SDC1 SERPINB2 SERPINE2 SYT7 TFPI TFPI2 TGFB2 THBD TRPC6 VCL WFDC1	7.33411451359243e-09	0.0809792843691149
urogenital system development	GO:0001655	ACTA2 CD24 COL4A1 CRLF1 DCN EPHA4 FGF1 GCNT1 GCNT4 GDNF HES1 HEYL ID4 ILK ITGA6 JAG1 KIF26B MME MYOCD NOTCH1 NOTCH3 PBX1 PDGFRB RARB RBP4 SDC1 SOX11 SOX4 STAT1 SULF1 SULF2 TGFB2 VEGFA WNK4	1.57311922329541e-08	0.107936507936508
